time,speed,lateralAcceleration,elapsedDistance,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
0.69,43.46580949,13.16825253,10.75,-5.30202618,1,3.2,1817.48399,120,30.62784148,337.8372919,131.5818172,0,0,23.24782164,11.07037663,1,45.8142598,1.3,1.8,-15.46424786,9.931424262,2.526110841,-9.718485473,5.072450805,0,2888.437292
0.7,43.46580949,13.16825253,10.75,-5.30202618,1,3.2,1817.48399,120,30.62784148,337.8372919,131.5818172,0,0,23.24782164,11.07037663,1,45.8142598,1.3,1.8,-15.46424786,9.931424262,2.526110841,-9.718485473,5.072450805,0,2888.437292
0.71,43.06692884,14.01647856,11,-5.969673368,1,3.2,1800.805152,120,30.34677336,331.6651562,129.1778765,0,0,26.71239657,10.21042658,1,43.74952101,1.3,1.8,-14.09822295,10.52683349,2.952188918,-9.930728519,5.205932438,0,2882.265156
0.72,43.06692884,14.01647856,11,-5.969673368,1,3.2,1800.805152,120,30.34677336,331.6651562,129.1778765,0,0,26.71239657,10.21042658,1,43.74952101,1.3,1.8,-14.09822295,10.52683349,2.952188918,-9.930728519,5.205932438,0,2882.265156
0.73,42.61303624,13.85414226,11.25,-5.52265524,1,3.2,1781.826038,120,30.0269415,324.7110003,126.4693523,0,0,24.57197776,10.11347289,1,43.51359889,1.3,1.8,-12.728063,10.78661911,1.275262321,-10.1459916,5.334255728,0,2875.311
0.74,42.61303624,13.85414226,11.25,-5.52265524,1,3.2,1781.826038,120,30.0269415,324.7110003,126.4693523,0,0,24.57197776,10.11347289,1,43.51359889,1.3,1.8,-12.728063,10.78661911,1.275262321,-10.1459916,5.334255728,0,2875.311
0.75,42.1889105,13.90461125,11.5,-4.811893049,1,3.2,1764.091599,120,29.72808463,318.279497,123.9643923,0,0,21.07839757,9.877175435,1,42.935723,1.3,1.8,-11.32442712,11.06652263,1.361876555,-10.36418435,5.457351518,0,2868.879497
0.76,42.1889105,13.90461125,11.5,-4.811893049,1,3.2,1764.091599,120,29.72808463,318.279497,123.9643923,0,0,21.07839757,9.877175435,1,42.935723,1.3,1.8,-11.32442712,11.06652263,1.361876555,-10.36418435,5.457351518,0,2868.879497
0.77,41.8160746,13.99474327,11.75,-0.632444775,1,3.2,1748.501799,120,29.46536874,312.6788936,121.7830536,0,0,0,9.640877984,1,42.35359853,1.3,1.8,-9.885665582,11.21862644,0.739196017,-10.58524417,5.575021549,0,2863.278894
0.78,41.8160746,13.99474327,11.75,-0.632444775,1,3.2,1748.501799,120,29.46536874,312.6788936,121.7830536,0,0,0,9.640877984,1,42.35359853,1.3,1.8,-9.885665582,11.21862644,0.739196017,-10.58524417,5.575021549,0,2863.278894
0.79,41.76701385,14.31272811,12,0,1,3.2,1746.450368,120,29.43079847,311.9456224,121.4974571,0,8.692821669,0,9.404580533,1,41.76701385,1.3,1.8,-8.393210765,11.42036359,0.980404774,-10.80910018,5.687059643,0,2862.545622
0.8,41.76701385,14.31272811,12,0,1,3.2,1746.450368,120,29.43079847,311.9456224,121.4974571,0,8.692821669,0,9.404580533,1,41.76701385,1.3,1.8,-8.393210765,11.42036359,0.980404774,-10.80910018,5.687059643,0,2862.545622
0.81,41.6018124,14.24444958,12.25,-2.477051692,1,3.2,1739.542617,120,29.31439056,309.4828199,120.5382379,0,0,9.367303379,9.3750551,1,41.69339543,1.3,1.8,-6.898577784,11.48866994,0.329102638,-11.03565898,5.793164073,0,2860.08282
0.82,41.6018124,14.24444958,12.25,-2.477051692,1,3.2,1739.542617,120,29.31439056,309.4828199,120.5382379,0,0,9.367303379,9.3750551,1,41.69339543,1.3,1.8,-6.898577784,11.48866994,0.329102638,-11.03565898,5.793164073,0,2860.08282
0.83,41.6018124,14.24444958,12.25,-2.477051692,1,3.2,1739.542617,120,29.31439056,309.4828199,120.5382379,0,0,9.367303379,9.3750551,1,41.69339543,1.3,1.8,-6.898577784,11.48866994,0.329102638,-11.03565898,5.793164073,0,2860.08282
0.84,41.40799361,14.22321372,12.5,-2.751827123,1,3.2,1731.438257,120,29.17781767,306.6058366,119.4177023,0,0,10.7936366,9.301770879,1,41.51035033,1.3,1.8,-5.391134233,11.59140949,0.492415623,-11.26477479,5.893264694,0,2857.205837
0.85,41.40799361,14.22321372,12.5,-2.751827123,1,3.2,1731.438257,120,29.17781767,306.6058366,119.4177023,0,0,10.7936366,9.301770879,1,41.51035033,1.3,1.8,-5.391134233,11.59140949,0.492415623,-11.26477479,5.893264694,0,2857.205837
0.86,41.19154336,14.18667561,12.75,-0.618049221,1,3.2,1722.387583,120,29.0252977,303.408799,118.1725111,0,0,0,9.228486658,1,41.32684491,1.3,1.8,-3.870658542,11.61585012,0.117001953,-11.49630706,5.987247516,0,2854.008799
0.87,41.19154336,14.18667561,12.75,-0.618049221,1,3.2,1722.387583,120,29.0252977,303.408799,118.1725111,0,0,0,9.228486658,1,41.32684491,1.3,1.8,-3.870658542,11.61585012,0.117001953,-11.49630706,5.987247516,0,2854.008799
0.88,41.142872,14.26646108,13,0,1,3.2,1720.352434,120,28.99100181,302.6922153,117.8934141,0,8.494957777,0,9.155202437,1,41.142872,1.3,1.8,-2.323656922,11.66153513,0.218702851,-11.73010991,6.075000561,0,2853.292215
0.89,41.142872,14.26646108,13,0,1,3.2,1720.352434,120,28.99100181,302.6922153,117.8934141,0,8.494957777,0,9.155202437,1,41.142872,1.3,1.8,-2.323656922,11.66153513,0.218702851,-11.73010991,6.075000561,0,2853.292215
0.9,41.09420064,14.10055126,13.25,-0.618049221,1,3.2,1718.317285,120,28.95670592,301.9764788,117.6146471,100,93.78235069,0,9.241021506,1,41.35826541,1.8,1.3,-0.791765227,11.63317727,-0.135754495,-11.96601515,6.156347073,0,2852.576479
0.91,41.09420064,14.10055126,13.25,-0.618049221,1,3.2,1718.317285,120,28.95670592,301.9764788,117.6146471,100,93.78235069,0,9.241021506,1,41.35826541,1.8,1.3,-0.791765227,11.63317727,-0.135754495,-11.96601515,6.156347073,0,2852.576479
0.92,41.1626829,14.04735482,13.5,0.868587584,1,3.2,1721.180809,120,29.00496141,302.9837871,118.0069763,75.978578,93.76161037,0,9.306958837,1,41.52332357,1.8,1.3,0.730181614,11.54181531,-0.436849673,-12.2038325,6.231301795,0,2853.583787
0.93,41.1626829,14.04735482,13.5,0.868587584,1,3.2,1721.180809,120,29.00496141,302.9837871,118.0069763,75.978578,93.76161037,0,9.306958837,1,41.52332357,1.8,1.3,0.730181614,11.54181531,-0.436849673,-12.2038325,6.231301795,0,2853.583787
0.94,41.25018082,14.00789591,13.75,1.111620139,1,3.2,1724.839457,120,29.06661613,304.2732379,118.5091952,72.02331809,93.73506077,0,9.372896167,1,41.68800948,1.8,1.3,2.247545247,11.48131342,-0.28977357,-12.44337719,6.299862286,0,2854.873238
0.95,41.25018082,14.00789591,13.75,1.111620139,1,3.2,1724.839457,120,29.06661613,304.2732379,118.5091952,72.02331809,93.73506077,0,9.372896167,1,41.68800948,1.8,1.3,2.247545247,11.48131342,-0.28977357,-12.44337719,6.299862286,0,2854.873238
0.96,41.25018082,14.00789591,13.75,1.111620139,1,3.2,1724.839457,120,29.06661613,304.2732379,118.5091952,72.02331809,93.73506077,0,9.372896167,1,41.68800948,1.8,1.3,2.247545247,11.48131342,-0.28977357,-12.44337719,6.299862286,0,2854.873238
0.97,41.35072225,13.87957834,14,1.280046954,1,3.2,1729.043507,120,29.13746186,305.7582907,119.0875978,69.26736094,93.70448376,0,9.505717975,1,42.01863746,1.8,1.3,3.741237172,11.3877096,-0.449268047,-12.68445729,6.362005079,0,2856.358291
0.98,41.35072225,13.87957834,14,1.280046954,1,3.2,1729.043507,120,29.13746186,305.7582907,119.0875978,69.26736094,93.70448376,0,9.505717975,1,42.01863746,1.8,1.3,3.741237172,11.3877096,-0.449268047,-12.68445729,6.362005079,0,2856.358291
