time,speed,engineSpeed,power
4.55,54.2065244,2266.597387,38.19620193
4.56,53.92536273,2254.840863,37.99808357
4.57,53.68124204,2244.633175,37.82606584
4.58,53.68124204,2244.633175,37.82606584
4.59,53.6240182,2242.240411,37.78574351
4.6,53.6240182,2242.240411,37.78574351
4.61,53.56679437,2239.847648,37.74542119
4.62,53.56679437,2239.847648,37.74542119
4.63,53.57870685,2240.345758,37.75381523
4.64,53.64750784,2243.22261,37.80229531
4.65,53.64750784,2243.22261,37.80229531
4.66,53.74874186,2247.455619,37.87362906
4.67,53.74874186,2247.455619,37.87362906
4.68,53.87358317,2252.675748,37.96159751
4.69,54.01703422,2258.674025,38.06267917
4.7,54.01703422,2258.674025,38.06267917
4.71,54.14349531,2263.961882,38.15178898
4.72,54.14349531,2263.961882,38.15178898
4.73,54.26004688,2268.835382,38.23391613
4.74,54.0344018,2259.400235,38.0749171
4.75,54.0344018,2259.400235,38.0749171
4.76,53.56431044,2239.743784,37.74367091
4.77,53.56431044,2239.743784,37.74367091
4.78,53.1150486,2220.958302,37.42710208
4.79,52.69453225,2203.374787,37.13078853
4.8,52.69453225,2203.374787,37.13078853
4.81,52.31428979,2187.475288,36.86285367
4.82,52.31428979,2187.475288,36.86285367
4.83,51.99659386,2174.191117,36.63899173
4.84,51.99659386,2174.191117,36.63899173
4.85,51.94059917,2171.849748,36.59953551
4.86,51.8846045,2169.508381,36.5600793
4.87,51.8846045,2169.508381,36.5600793
4.88,51.93112045,2171.453404,36.5928564
4.89,51.93112045,2171.453404,36.5928564
4.9,51.98699702,2173.789833,36.63222939
4.91,52.05032905,2176.438006,36.67685581
4.92,52.05032905,2176.438006,36.67685581
4.93,52.11977696,2179.341908,36.72579173
4.94,52.11977696,2179.341908,36.72579173
4.95,52.21292195,2183.236682,36.79142562
4.96,52.21292195,2183.236682,36.79142562
4.97,52.31727687,2187.60019,36.86495849
4.98,52.43098169,2192.354655,36.9450797
4.99,52.43098169,2192.354655,36.9450797
5,52.5526391,2197.441651,37.03080464
5.01,52.5526391,2197.441651,37.03080464
5.02,52.68115668,2202.815499,37.12136354
5.03,52.68115668,2202.815499,37.12136354
5.04,52.78075166,2206.979974,37.19154237
5.05,52.85282677,2209.993731,37.24232953
5.06,52.85282677,2209.993731,37.24232953
5.07,52.84403932,2209.626291,37.23613751
5.08,52.84403932,2209.626291,37.23613751
5.09,52.78742862,2207.259165,37.19624723
5.1,52.73081792,2204.89204,37.15635695
5.11,52.73081792,2204.89204,37.15635695
5.12,52.84618867,2209.716164,37.23765204
5.13,52.84618867,2209.716164,37.23765204
5.14,53.01532758,2216.788557,37.35683445
5.15,53.22148398,2225.408802,37.50210094
5.16,53.22148398,2225.408802,37.50210094
5.17,53.45570389,2235.202499,37.66714216
5.18,53.45570389,2235.202499,37.66714216
5.19,53.71221966,2245.928476,37.84789398
5.2,54.02796858,2259.131235,38.07038398
5.21,54.02796858,2259.131235,38.07038398
5.22,54.34130469,2272.233105,38.29117381
5.23,54.34130469,2272.233105,38.29117381
5.24,54.65227087,2285.235878,38.51029368
5.25,54.9609087,2298.141293,38.72777291
5.26,54.9609087,2298.141293,38.72777291
5.27,55.26725855,2310.951038,38.94363993
5.28,55.26725855,2310.951038,38.94363993
5.29,55.57135957,2323.666751,39.15792232
5.3,55.87324978,2336.29002,39.37064689
5.31,55.87324978,2336.29002,39.37064689
5.32,56.1729661,2348.82239,39.58183964
